Country,Clicks,Impressions,CTR,Position
India,152,17065,0.89%,9.72
Malaysia,119,2430,4.9%,8.02
Philippines,82,4842,1.69%,10.18
Singapore,55,1179,4.66%,8.56
Pakistan,44,1263,3.48%,12.15
Hong Kong,28,527,5.31%,11.62
Indonesia,26,2049,1.27%,9.01
Thailand,21,491,4.28%,9.61
United Arab Emirates,18,716,2.51%,12.59
Sri Lanka,15,279,5.38%,5.91
Peru,14,246,5.69%,7.79
Mexico,13,1148,1.13%,7.96
Canada,13,750,1.73%,29.3
Venezuela,13,413,3.15%,8.56
Egypt,12,214,5.61%,10.2
Kenya,10,305,3.28%,8.13
South Africa,9,706,1.27%,18.82
United States,8,4407,0.18%,27.64
Saudi Arabia,8,326,2.45%,8.8
Australia,7,258,2.71%,33.68
Ethiopia,7,181,3.87%,7.72
Nigeria,6,475,1.26%,19.6
Nepal,6,348,1.72%,7.18
Germany,6,118,5.08%,6.43
Japan,5,259,1.93%,7.14
New Zealand,5,206,2.43%,13.44
Colombia,5,175,2.86%,8.05
Taiwan,5,68,7.35%,7.5
Bangladesh,4,441,0.91%,9.23
Ireland,4,255,1.57%,12.41
France,4,250,1.6%,29.01
Russia,4,80,5%,9.79
Ecuador,3,300,1%,8.35
Switzerland,3,146,2.05%,33.51
Ghana,3,117,2.56%,7.28
Chile,3,85,3.53%,8.47
Zimbabwe,3,72,4.17%,8.54
Luxembourg,3,55,5.45%,11.82
Myanmar (Burma),3,41,7.32%,7.41
Vietnam,2,285,0.7%,12.42
Brazil,2,254,0.79%,12.97
Uganda,2,164,1.22%,7.55
Turkey,2,139,1.44%,13.4
Zambia,2,36,5.56%,7.44
Lebanon,2,32,6.25%,8.28
Czechia,2,27,7.41%,5.04
China,2,20,10%,5.4
Slovakia,2,18,11.11%,17.5
Yemen,2,15,13.33%,5.4
United Kingdom,1,843,0.12%,34.97
Italy,1,265,0.38%,24.94
Argentina,1,219,0.46%,7.65
South Korea,1,146,0.68%,9.74
Cambodia,1,91,1.1%,10.53
Dominican Republic,1,90,1.11%,8.72
Poland,1,75,1.33%,11.81
Spain,1,70,1.43%,18.66
Jamaica,1,69,1.45%,6.7
Oman,1,65,1.54%,9.06
Netherlands,1,61,1.64%,14.05
Mauritius,1,60,1.67%,6.42
Bahrain,1,58,1.72%,7.24
Panama,1,58,1.72%,7.36
Tanzania,1,57,1.75%,8.47
Greece,1,55,1.82%,9.93
Trinidad & Tobago,1,53,1.89%,12.96
Paraguay,1,49,2.04%,12.65
Puerto Rico,1,38,2.63%,6.18
Jordan,1,36,2.78%,6.61
Romania,1,33,3.03%,6.94
Guyana,1,30,3.33%,7.6
Kuwait,1,28,3.57%,8
Hungary,1,26,3.85%,7.92
Malawi,1,22,4.55%,10.18
Belize,1,20,5%,7.5
Lesotho,1,20,5%,8.45
Belarus,1,19,5.26%,10.32
Botswana,1,18,5.56%,7.06
Lithuania,1,18,5.56%,12.39
Libya,1,17,5.88%,4.41
Grenada,1,15,6.67%,7.47
Belgium,1,14,7.14%,4.93
